#,Name,T,V,D,T,V,D,T,V,D
1,Дмитрий Матвеев,1,-3,-4,4,3,4,5,-3,-9
2,Данила Антонов,2,-3,-18,5,3,-1,7,3,3
3,Евгений Сафронов,2,3,18,1,-3,-11,4,3,2
4,Дарья Дерябина,3,-3,-24,7,-3,-20,1,-3,-18
5,Максим Демченко,4,-3,-3,5,-3,1,6,3,2
6,Петр Федин,7,3,13,1,3,11,3,-3,-10
7,Денис Кубиков,6,-3,-13,6,3,16,4,-3,-2
8,Максим Федоров,5,3,27,2,3,11,2,3,19
9,Павел Аленчев,4,3,3,4,-3,-4,7,-3,-3
10,Анатолий Коновалов,6,3,13,3,3,16,2,-3,-19
11,Артем Баранов,5,-3,-27,7,3,20,5,3,9
12,Александр Каревский,3,3,24,2,-3,-11,3,3,10
13,Максим Каревский,1,3,4,3,-3,-16,6,-3,-2
14,Владимир Владимирович,7,-3,-13,6,-3,-16,1,3,18
