,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,The Chosen Axes,3,3,18,13,3,3,22,13,1,3,25,12,1,3,12,2,12,77,40,27
2,Ylia,Magore's Fiends,6,3,22,2,2,3,19,10,2,3,18,13,1,0,10,-2,9,69,23,30
3,Kamahl,The Farstriders,5,3,34,1,1,3,26,23,1,0,13,-12,2,3,18,15,9,91,27,27
4,Vitaliy,The Farstriders,4,3,19,3,2,0,9,-10,5,3,14,9,3,3,27,5,9,69,7,21
5,Brin,Steelheart’s Champions,2,3,27,15,3,0,9,-13,3,3,33,11,2,0,3,-15,6,72,-2,33
6,Michail,Garrek’s Reavers,5,0,33,-1,7,3,27,3,3,0,22,-11,6,3,18,11,6,100,2,24
7,Dominator 667,Magore's Fiends,2,0,12,-15,4,3,25,10,4,3,16,4,3,0,22,-5,6,75,-6,24
8,Nevar,Ironskull’s Boyz,1,3,27,22,4,0,15,-10,2,0,5,-13,5,3,27,7,6,74,6,21
9,Anguis,Ironskull’s Boyz,7,0,27,2,7,0,24,-3,7,3,20,11,4,3,23,11,6,94,21,15
10,Soel,Magore's Fiends,4,0,16,-3,6,3,21,1,4,0,12,-4,5,0,20,-7,3,69,-13,24
11,Banket,The Chosen Axes,3,0,5,-13,5,0,5,-14,7,0,9,-11,7,3,16,13,3,35,-25,24
12,Dominator 666,Ironskull’s Boyz,1,0,5,-22,5,3,19,14,5,0,5,-9,6,0,7,-11,3,36,-28,24
13,Kifir,Garrek’s Reavers,6,0,20,-2,6,0,20,-1,6,3,34,9,4,0,12,-11,3,86,-5,21
14,Vlad,The Farstriders,7,3,25,-2,1,0,3,-23,6,0,25,-9,7,0,3,-13,3,56,-47,21
