,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Ylia,Stormsire’s Cursebreakers,8,1,27,22,1,1,29,13,1,1,26,21,1,1,32,2,4,114,58,9
2,Brin,Thorns of the Briar Queen,10,1,54,10,3,1,30,2,2,1,29,9,1,0,30,-2,3,143,19,11
3,Lordik,Sepulchral Guard,7,1,35,2,5,1,49,7,2,0,20,-9,5,1,52,19,3,156,19,10
4,Boris,Magore's Fiends,2,0,6,-15,10,1,31,28,3,1,28,4,3,1,31,1,3,96,18,9
5,Kifir,Magore's Fiends,6,1,30,3,4,1,33,3,3,0,24,-4,4,1,36,14,3,123,16,8
6,Imp,Ironskull’s Boyz,9,1,25,8,4,0,30,-3,5,1,23,12,2,1,24,-11,3,102,6,7
7,Tema,Steelheart’s Champions,3,1,22,1,5,0,42,-7,8,1,22,-2,6,1,33,25,3,119,17,5
8,Verger,The Farstriders,2,1,21,15,2,1,55,18,1,0,5,-21,5,0,33,-19,2,114,-7,12
9,Oleg,The Chosen Axes,1,1,22,13,3,0,28,-2,4,1,39,17,2,0,35,11,2,124,39,9
10,Sasha,Magore's Fiends,7,0,33,-2,6,1,18,-3,7,1,32,19,3,0,30,-1,2,113,13,8
11,Oksana,Spiteclaw's Swarm,5,1,35,19,2,0,37,-18,6,1,26,12,4,0,22,-14,2,120,-1,8
12,Voron,Zarbag's Gitz,10,0,44,-10,8,1,32,15,4,0,22,-17,8,1,39,17,2,137,5,7
13,Barb,Garrek’s Reavers,4,1,30,15,1,0,16,-13,6,0,14,-12,7,1,33,1,2,93,-9,7
14,Kirill,Magore's Fiends,8,0,5,-22,10,0,3,-28,10,1,24,20,9,1,15,10,2,47,-20,7
15,Kamahl,The Farstriders,3,0,21,-1,6,0,21,3,9,1,13,7,7,0,32,-1,1,87,8,8
16,Kozulskis,Zarbag's Gitz,5,0,16,-19,9,1,34,21,5,0,11,-12,6,0,8,-25,1,69,-35,8
17,Lover,The Farstriders,9,0,17,-8,7,1,23,9,7,0,13,-19,8,0,22,-17,1,75,-35,7
18,XuTu,Ironskull’s Boyz,1,0,9,-13,8,0,17,-15,9,0,6,-7,10,1,27,16,1,59,-19,5
19,Dima,Eyes of the Nine,6,0,27,-3,7,0,12,-9,8,0,24,2,9,0,5,-10,0,68,-20,9
20,Sergey,Spiteclaw's Swarm,4,0,15,-15,9,0,13,-21,10,0,4,-20,10,0,11,-16,0,43,-72,6
