,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Nevar,Garrek’s Reavers,1,3,24,10,3,3,38,2,2,3,26,14,1,3,32,-13,12,120,13,33
2,Oleg,Magore's Fiends,3,3,23,15,2,3,7,7,1,3,34,8,1,0,45,13,9,109,43,30
3,Artur Diodand,Sepulchral Guard,1,0,14,-10,4,3,26,13,4,3,7,7,2,3,24,12,9,71,22,27
4,Anguis,Ironskull’s Boyz,2,3,24,15,1,0,36,-3,3,3,34,3,3,0,32,0,6,126,15,21
5,Michail,Garrek’s Reavers,4,3,26,10,3,0,36,-2,3,0,31,-3,4,3,33,7,6,126,12,27
6,Owl,The Farstriders,6,0,25,-11,5,3,39,23,2,0,12,-14,3,3,32,0,6,108,-2,30
7,Grib,Spiteclaw's Swarm,5,3,33,20,1,3,39,3,1,0,26,-8,2,0,12,-12,6,110,3,27
8,Soel,Garrek’s Reavers,3,0,8,-15,5,0,16,-23,6,3,30,7,5,3,35,14,6,89,-17,21
9,Proxy,Spiteclaw's Swarm,6,3,36,11,2,0,0,-7,4,0,0,-7,4,0,26,-7,3,62,-10,30
10,Sasha,Ironskull’s Boyz,4,0,16,-10,4,0,13,-13,5,3,22,1,6,0,22,-2,3,73,-24,21
11,Brin,Sepulchral Guard,2,0,9,-15,6,0,27,-2,6,0,23,-7,6,3,24,2,3,83,-22,18
12,Boris,Magore's Fiends,5,0,13,-20,6,3,29,2,5,0,21,-1,5,0,21,-14,3,84,-33,18
