,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Just,Skaeth’s Wild Hunt,3,1,35,14,4,1,37,17,1,1,48,-11,1,1,51,2,4,171,22,10
2,LastbutOne,Spiteclaw's Swarm,8,1,32,28,1,1,25,1,2,1,28,4,1,0,49,-2,3,134,31,10
3,Brin,Thorns of the Briar Queen,1,1,33,20,2,1,34,11,1,0,59,11,2,1,48,-1,3,174,41,9
4,Nevar,Thorns of the Briar Queen,7,1,31,2,4,0,20,-17,7,1,42,26,4,1,42,7,3,135,18,8
5,Oleg,Thundrik’s Profiteers,4,1,50,24,1,0,24,-1,3,1,24,15,3,1,7,7,3,105,45,6
6,Sasha,Zarbag's Gitz,2,0,20,-17,9,1,31,18,6,1,37,-16,5,1,41,4,3,129,-11,6
7,Boris,Thorns of the Briar Queen,5,1,39,15,3,1,47,4,2,0,24,-4,2,0,49,1,2,159,16,10
8,Lordik,Ylthari’s Guardians,2,1,37,17,2,0,23,-11,5,0,29,9,6,1,41,15,2,130,30,9
9,Kozulskis,Skaeth’s Wild Hunt,6,0,21,-15,7,1,37,5,5,1,20,-9,5,0,37,-4,2,115,-23,8
10,Voron,Sepulchral Guard,6,1,36,15,3,0,43,-4,4,0,51,-1,7,1,30,4,2,160,14,7
11,Timur,Skaeth’s Wild Hunt,5,0,24,-15,6,1,36,26,4,1,52,1,4,0,35,-7,2,147,5,7
12,Egor,Godsworn Hunt,4,0,26,-24,8,0,24,-8,9,1,24,10,8,1,27,13,2,101,-9,6
13,Seryi,Stormsire’s Cursebreakers,1,0,13,-20,8,1,31,8,6,0,53,16,7,0,26,-4,1,123,0,10
14,Taranov,Skaeth’s Wild Hunt,7,0,29,-2,5,1,23,16,3,0,9,-15,8,0,14,-13,1,75,-14,9
15,Krot,The Chosen Axes,8,0,4,-28,9,0,13,-18,9,0,14,-10,9,1,15,-2,1,46,-58,9
16,Dants,Thundrik’s Profiteers,3,0,21,-14,7,0,32,-5,8,1,41,33,6,0,26,-15,1,120,-1,8
17,Badya,Thundrik’s Profiteers,9,1,14,0,5,0,7,-16,7,0,16,-26,9,0,17,2,1,54,-40,5
18,Proxy,Grashrak’s Despoilers,9,0,14,0,6,0,10,-26,8,0,8,-33,3,0,0,-7,0,32,-66,7
