,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,Spiteclaw's Swarm,4,3,23,23,1,3,21,15,1,3,32,18,1,3,25,7,12,101,63,27
2,Ylia,Steelheart’s Champions,2,3,27,16,2,3,23,19,2,3,18,10,1,0,18,-7,9,86,38,30
3,Anguis,Ironskull’s Boyz,1,3,24,16,3,3,25,19,2,0,8,-10,2,3,19,5,9,76,30,30
4,Grib,Spiteclaw's Swarm,6,3,24,15,3,0,6,-19,5,3,26,1,4,3,25,20,9,81,17,24
5,Brin,Steelheart’s Champions,3,3,27,17,1,0,6,-15,3,3,26,4,3,3,28,8,9,87,14,24
6,Soel,Sepulchral Guard,8,3,7,0,4,0,14,-24,7,3,13,5,5,3,28,8,9,62,-11,18
7,Kamahl,The Farstriders,5,3,14,11,4,3,38,24,1,0,14,-18,2,0,14,-5,6,80,12,36
8,Slav,Steelheart’s Champions,8,3,7,0,5,0,9,-6,6,3,19,1,4,0,5,-20,6,40,-25,27
9,Kifir,Garrek’s Reavers,1,0,8,-16,7,3,21,14,4,3,44,19,3,0,20,-8,6,93,9,24
10,Limur,Ironskull’s Boyz,5,0,3,-11,5,3,17,6,5,0,25,-1,6,3,20,15,6,65,9,24
11,Imp,Spiteclaw's Swarm,7,3,24,16,2,0,4,-19,4,0,25,-19,7,3,20,15,6,73,-7,18
12,Vitaliy,Magore's Fiends,2,0,11,-16,6,3,27,24,3,0,22,-4,5,0,20,-8,3,80,-4,30
13,Dominator 666,Ironskull’s Boyz,4,0,0,-23,8,3,16,7,6,0,18,-1,7,0,5,-15,3,39,-32,27
14,Amgalan,Ironskull’s Boyz,3,0,10,-17,8,0,9,-7,7,0,8,-5,8,3,25,6,3,52,-23,21
15,Dominator 667,The Farstriders,6,0,9,-15,6,0,3,-24,8,3,23,7,6,0,5,-15,3,40,-47,18
16,Udar,Garrek’s Reavers,7,0,8,-16,7,0,7,-14,8,0,16,-7,8,0,19,-6,0,50,-43,18
