,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Voron,Zarbag's Gitz,3,1,24,18,1,1,41,7,2,1,31,11,8,1,28,2,4,124,38,9
2,Lordik,Stormsire’s Cursebreakers,4,1,35,28,1,0,34,-7,3,1,22,14,7,1,30,7,3,121,42,11
3,Anguis,Ironskull’s Boyz,1,1,39,7,4,1,45,18,1,1,7,7,8,0,26,-2,3,117,30,10
4,Soel,Godsworn Hunt,4,0,7,-28,8,1,28,14,6,1,26,16,5,1,21,7,3,82,9,8
5,Pawlove,Thorns of the Briar Queen,5,1,33,10,3,0,27,-6,4,1,42,6,6,1,7,7,3,109,17,7
6,Solnce,Thundrik’s Profiteers,6,1,18,14,3,1,33,6,2,0,20,-11,5,0,14,-7,2,85,2,11
7,Seriy,Magore's Fiends,7,1,31,7,4,0,27,-18,6,0,10,-16,2,1,33,21,2,101,-6,9
8,Proxy,Godsworn Hunt,8,1,27,15,2,1,38,22,1,0,0,-7,6,0,0,-7,2,65,23,8
9,Sasha,Mollog's Mob,5,0,23,-10,6,1,37,8,5,1,35,21,7,0,23,-7,2,118,12,8
10,Brin,Ylthari’s Guardians,7,0,24,-7,5,1,48,21,3,0,8,-14,4,1,38,9,2,118,9,8
11,Nevar,Thorns of the Briar Queen,1,0,32,-7,5,0,27,-21,7,1,30,14,3,1,24,16,2,113,2,7
12,Egor,Stormsire’s Cursebreakers,3,0,6,-18,8,0,14,-14,8,1,15,8,3,0,8,-16,1,43,-40,9
13,Boris,Mollog's Mob,8,0,12,-15,7,1,31,28,4,0,36,-6,4,0,29,-9,1,108,-2,7
14,Nechrist,Spiteclaw's Swarm,6,0,8,-14,6,0,29,-8,7,0,16,-14,1,1,23,14,1,76,-22,6
15,Kozulskis,Spiteclaw's Swarm,2,1,22,17,2,0,16,-22,5,0,14,-21,2,0,12,-21,1,64,-47,6
16,Kondor,Eyes of the Nine,2,0,5,-17,7,0,3,-28,8,0,7,-8,1,0,9,-14,0,24,-67,4
