,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Just,Mollog's Mob,7,1,31,12,3,1,39,2,2,1,35,11,2,1,42,21,4,147,46,11
2,Brin,Thorns of the Briar Queen,1,1,29,13,2,1,29,9,1,1,49,6,2,0,21,-21,3,128,7,9
3,Vanya,Eyes of the Nine,4,1,37,4,4,1,36,8,2,0,24,-11,4,1,35,14,3,132,15,8
4,Lordik,Mollog's Mob,6,1,51,8,3,0,37,-2,3,1,35,20,3,1,46,15,3,169,41,7
5,Soel,Eyes of the Nine,7,0,19,-12,5,1,30,6,5,1,33,15,4,0,21,-14,2,103,-5,10
6,Oleg,Garrek’s Reavers,3,1,27,16,1,1,25,10,1,0,43,-6,3,0,29,-15,2,124,5,9
7,Pawlove,The Farstriders,1,0,16,-13,6,1,31,10,4,1,23,-11,5,0,26,-16,2,96,-30,9
8,Boris,Magore's Fiends,5,1,45,14,1,0,15,-10,4,0,34,11,6,1,32,12,2,126,27,7
9,Seriy,Mollog's Mob,4,0,33,-4,5,0,24,-6,6,1,34,12,5,1,42,16,2,133,18,7
10,Kozulskis,Zarbag's Gitz,5,0,31,-14,6,0,21,-10,7,1,27,-3,7,1,37,15,2,116,-12,6
11,Voron,Zarbag's Gitz,2,1,32,14,2,0,20,-9,3,0,15,-20,6,0,20,-12,1,87,-27,9
12,Dants,Mollog's Mob,3,0,11,-16,7,1,24,2,5,0,18,-15,7,0,22,-15,1,75,-44,7
13,Skiv,The Chosen Axes,2,0,18,-14,7,0,22,-2,7,0,30,3,1,1,36,14,1,106,1,4
14,Oksana,Spiteclaw's Swarm,6,0,43,-8,4,0,28,-8,6,0,22,-12,1,0,22,-14,0,115,-42,9
