,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,Zarbag's Gitz,1,3,36,19,1,3,39,30,1,3,30,14,1,3,30,4,12,135,67,33
2,Brin,Thorns of the Briar Queen,1,0,17,-19,7,3,48,7,5,3,32,14,3,3,32,11,9,129,13,30
3,Ylia,Stormsire’s Cursebreakers,6,3,36,6,3,3,24,11,2,3,43,27,1,0,26,-4,9,129,40,27
4,Anguis,Ironskull’s Boyz,3,3,26,13,2,3,47,13,1,0,16,-14,2,3,37,16,9,126,28,27
5,Doctor,Stormsire’s Cursebreakers,4,3,31,15,1,0,9,-30,5,0,18,-14,6,3,26,-5,6,84,-34,30
6,Voron,Zarbag's Gitz,6,0,30,-6,5,3,36,3,3,3,32,17,2,0,21,-16,6,119,-2,27
7,Oleg,Magore's Fiends,4,0,16,-15,7,0,41,-7,7,3,26,8,4,3,51,10,6,134,-4,24
8,Georgiy,Sepulchral Guard,5,3,33,7,2,0,34,-13,4,3,25,8,3,0,21,-11,6,113,-9,24
9,Oksana,Spiteclaw's Swarm,2,3,29,1,4,3,52,8,2,0,16,-27,4,0,41,-10,6,138,-28,21
10,Verger,Sepulchral Guard,2,0,28,-1,5,0,33,-3,6,3,33,3,5,3,32,11,6,126,10,15
11,Sasha,Steelheart’s Champions,3,0,13,-13,6,3,24,9,3,0,15,-17,6,0,31,5,3,83,-16,24
12,Solnce,Stormsire’s Cursebreakers,7,3,12,2,3,0,13,-11,4,0,17,-8,5,0,21,-11,3,63,-28,21
13,Senek,Magore's Fiends,5,0,26,-7,6,0,15,-9,7,0,34,-8,7,3,39,23,3,114,-1,15
14,Udar,Stormsire’s Cursebreakers,7,0,10,-2,4,0,44,-8,6,0,30,-3,7,0,16,-23,0,100,-36,18
