,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,,,,,S0S
1,Kamahl,Steelheart’s Champions,3,3,24,6,4,3,13,11,2,3,29,13,1,3,29,9,12,95,39,9,9,3,9,30
2,Imp,Ironskull’s Boyz,9,3,27,9,3,3,25,10,2,0,16,-13,3,3,25,14,9,93,20,6,9,3,12,30
3,Lordik,Steelheart’s Champions,6,3,21,10,2,3,30,12,1,3,19,3,1,0,20,-9,9,90,16,6,6,6,12,30
4,Anguis,Ironskull’s Boyz,3,0,18,-6,6,3,31,15,3,3,36,14,2,3,23,3,9,108,26,6,6,12,3,27
5,Brin,Sepulchral Guard,8,3,15,7,3,0,15,-10,6,3,30,-6,4,3,32,22,9,92,13,9,6,6,6,27
6,Slay,Spiteclaw's Swarm,2,3,27,18,1,3,24,10,1,0,16,-3,2,0,20,-3,6,87,22,9,6,6,9,30
7,Your mother friend,Ironskull’s Boyz,7,3,24,16,1,0,14,-10,4,0,19,-3,5,3,16,10,6,73,13,6,6,6,6,24
8,KOT,Ironskull’s Boyz,2,0,9,-18,9,3,25,10,6,0,36,6,6,3,35,8,6,105,6,6,9,6,3,24
9,Fatherbox,Spiteclaw's Swarm,6,0,11,-10,8,3,30,9,5,3,7,7,3,0,11,-14,6,59,-8,9,3,0,9,21
10,Darth Framas,Steelheart’s Champions,1,3,26,10,2,0,18,-12,4,3,22,3,4,0,10,-22,6,76,-21,9,6,0,6,21
11,Michail,Steelheart’s Champions,5,3,21,-10,5,3,21,5,3,0,22,-14,5,0,6,-10,6,70,-29,9,6,3,3,21
12,Vitaliy,The Chosen Axes,8,0,8,-7,7,0,18,-9,8,3,21,5,8,3,17,6,6,64,-5,9,3,3,3,18
13,Soel,Sepulchral Guard,7,0,8,-16,9,0,15,-10,9,3,26,13,7,3,7,7,6,56,-6,6,3,0,6,15
14,Proxy,Sepulchral Guard,9,0,18,-9,7,3,27,9,5,0,0,-7,7,0,0,-7,3,45,-14,9,6,6,6,27
15,Barb,Garrek’s Reavers,5,0,31,10,6,0,16,-15,7,3,30,12,6,0,27,-8,3,104,-1,9,6,3,6,24
16,Kirill,Ironskull’s Boyz,4,3,20,1,4,0,2,-11,7,0,18,-12,8,0,11,-6,3,51,-28,6,12,3,3,24
17,Nevar,Steelheart’s Champions,4,0,19,-1,5,0,16,-5,8,0,16,-5,9,3,22,1,3,73,-10,6,6,3,0,15
18,Grib,Spiteclaw's Swarm,1,0,16,-10,8,0,21,-9,9,0,13,-13,9,0,21,-1,0,71,-33,6,6,6,3,21
