,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Kozulskis,Rippa's Snarlfangs,1,1,55,10,3,0,25,-6,3,1,45,9,1,1,25,12,3,150,25,10
2,Seriy,Stormsire’s Cursebreakers,4,1,37,34,1,1,35,8,1,1,26,15,1,0,13,-12,3,111,45,9
3,Amarok,Rippa's Snarlfangs,5,1,36,26,1,0,27,-8,2,1,27,13,2,1,35,12,3,125,43,9
4,Lordik,Ylthari’s Guardians,7,1,34,15,3,1,31,6,2,0,14,-13,3,1,32,9,3,111,17,9
5,Brin,Skaeth’s Wild Hunt,2,1,37,20,2,1,27,16,1,0,11,-15,2,0,23,-12,2,98,9,9
6,Oleg,Garrek’s Reavers,6,1,26,10,4,0,53,-2,3,0,36,-9,4,1,36,2,2,151,1,9
7,Boris,The Grymwatch,1,0,45,-10,4,1,55,2,4,0,40,6,5,1,50,3,2,190,1,8
8,Sasha,Zarbag's Gitz,3,0,14,-17,6,1,38,10,5,1,34,14,3,0,23,-9,2,109,-2,8
9,Voron,Rippa's Snarlfangs,3,1,31,17,2,0,11,-16,4,1,34,-6,4,0,34,-2,2,110,-7,8
10,Doctor,Ylthari’s Guardians,6,0,16,-10,5,1,25,2,5,0,20,-14,6,1,7,7,2,68,-15,6
11,Egor,Stormsire’s Cursebreakers,7,0,19,-15,5,0,23,-2,6,1,35,18,5,0,47,-3,1,124,-2,8
12,Badya,Grashrak’s Despoilers,5,0,10,-26,7,0,27,-4,7,1,30,6,6,0,0,-7,1,67,-31,7
13,Nevar,Godsworn Hunt,2,0,17,-20,6,0,28,-10,7,0,24,-6,7,1,30,20,1,99,-16,6
14,Nikita,Thundrik’s Profiteers,4,0,3,-34,7,1,31,4,6,0,17,-18,7,0,10,-20,1,61,-68,6
