,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Ylia,Steelheart’s Champions,2,3,26,21,2,3,11,4,2,3,31,12,2,3,20,6,12,88,43,33
2,Anguis,Ironskull’s Boyz,1,3,22,10,3,3,21,5,1,3,21,-14,2,0,14,-6,9,78,-5,30
3,Sli,Spiteclaw's Swarm,7,3,27,15,2,0,7,-4,3,3,34,2,4,3,25,22,9,93,35,27
4,Artur Diodand,Spiteclaw's Swarm,5,3,26,3,4,3,13,8,2,0,19,-12,5,3,21,5,9,79,4,27
5,Dimon,Spiteclaw's Swarm,3,3,33,31,1,3,36,11,1,0,35,14,3,3,29,9,9,133,65,21
6,Grib,Spiteclaw's Swarm,2,0,5,-21,8,3,25,15,6,3,21,15,4,0,3,-22,6,54,-13,30
7,Kamahl,Steelheart’s Champions,8,3,21,12,3,0,16,-5,4,3,19,8,3,0,20,-9,6,76,6,24
8,Imp,Sepulchral Guard,7,0,12,-15,7,3,28,10,5,3,24,13,1,0,11,-14,6,75,-6,21
9,Kirill,Ironskull’s Boyz,6,3,17,3,4,0,5,-8,5,0,11,-13,7,3,16,7,6,49,-11,21
10,Brin,Sepulchral Guard,5,0,23,-3,5,0,17,-16,7,3,26,9,6,3,25,14,6,91,4,18
11,Amgalan,Ironskull’s Boyz,4,0,3,-19,8,0,10,-15,8,3,18,12,8,3,7,7,6,38,-15,12
12,Soel,Sepulchral Guard,6,0,14,-3,5,3,33,16,3,0,32,-2,5,0,16,-5,3,95,6,30
13,Barb,Garrek’s Reavers,4,3,22,19,1,0,25,-11,4,0,11,-8,6,0,11,-14,3,69,-14,27
14,Vitaliy,The Chosen Axes,1,0,12,-10,6,3,23,3,7,0,17,-9,7,0,9,-7,3,61,-23,24
15,Michail,Garrek’s Reavers,3,0,2,-31,9,0,2,-15,8,0,6,-12,9,3,38,12,3,48,-46,18
16,Renor,Sepulchral Guard,9,0,21,-7,6,0,20,-3,6,0,6,-15,1,3,25,14,3,72,-11,15
17,Nevar,Garrek’s Reavers,8,0,9,-12,7,0,18,-10,9,3,2,-6,9,0,26,-12,3,55,-40,15
18,Proxy,Ironskull’s Boyz,9,0,28,7,9,0,17,15,9,0,8,6,8,0,0,-7,0,53,21,15
