№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SOS
1,Dimon,Magore's Fiends,1,3,24,7,4,3,40,10,1,3,31,-2,1,3,25,0,1,3,31,4,15,151,19,45
2,Artur Diodand,The Farstriders,8,3,26,19,1,3,24,9,1,0,3,2,2,3,30,14,2,3,31,12,12,114,56,42
3,Anguis,Ironskull’s Boyz,3,3,17,11,3,3,27,2,2,3,19,3,1,0,25,0,3,3,23,5,12,111,21,36
4,Kamahl,The Farstriders,2,3,18,11,2,3,22,6,2,0,16,-3,4,3,34,9,1,0,27,-4,9,117,19,48
5,"Петр Федин",The Chosen Axes,5,3,24,12,2,0,16,-6,4,3,23,13,3,0,18,-7,4,3,25,5,9,106,17,36
6,Nevar,Ironskull’s Boyz,7,3,13,2,5,0,13,-5,7,3,14,10,5,0,24,-14,6,3,31,18,9,95,11,33
7,Solano,The Chosen Axes,6,0,14,-15,9,3,24,13,6,3,30,10,4,0,25,-9,5,3,27,10,9,120,9,33
8,Grib,Spiteclaw's Swarm,7,0,11,-2,6,3,18,3,5,3,22,10,3,3,25,7,2,0,19,-12,9,95,6,42
9,Soel,Magore's Fiends,5,0,12,-12,8,3,30,28,3,0,11,-12,5,3,38,14,3,0,18,-5,6,109,13,36
10,"Анатолий Коновалов",The Farstriders,1,0,17,-7,6,0,15,-3,8,3,15,13,6,3,20,14,4,0,20,-5,6,87,12,42
11,Oval,The Farstriders,9,0,26,-7,5,3,18,5,5,0,12,-10,7,0,11,-4,8,3,24,20,6,91,4,30
12,"Алексей Смышляев",Steelheart’s Champions,4,3,36,11,3,0,25,-2,3,3,23,12,2,0,16,-14,5,0,17,-10,6,117,-3,45
13,Kifir,Magore's Fiends,6,3,29,15,1,0,15,-9,4,0,10,-13,6,0,6,-14,7,3,16,9,6,76,-12,42
14,Vitaliy,The Farstriders,4,0,25,-11,7,3,18,6,7,0,4,-10,7,3,15,4,7,0,7,-9,6,69,-20,30
15,Brin,Sepulchral Guard,9,3,33,7,4,0,30,-10,6,0,20,-10,8,3,31,10,6,0,13,-18,6,127,-21,45
16,Amgalan,Ironskull’s Boyz,8,0,7,-19,9,0,11,-13,9,3,18,10,8,0,21,-10,9,3,13,2,6,70,-30,30
17,Sasha,Ironskull’s Boyz,2,0,7,-11,7,0,12,-6,8,0,2,-13,9,3,22,5,9,0,11,-2,3,54,-27,27
18,Stradevary,The Farstriders,3,0,6,-11,8,0,2,-28,9,0,8,-10,9,0,17,-5,8,0,4,-20,0,37,-74,33
