№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF
1,Ilya,Magore's Fiends,7,3,13,11,2,3,30,18,1,0,5,-18,3,3,27,20,1,3,33,21,12,108,52
2,Brin,Steelheart’s Champions,8,3,16,10,3,3,31,22,1,3,23,18,1,0,10,-10,2,3,29,-4,12,109,36
3,Dimon,The Farstriders,5,3,25,13,1,3,35,1,2,3,26,17,1,3,20,10,1,0,12,-21,12,34,20
4,Artur Diodand,The Farstriders,6,3,33,31,1,0,23,-12,3,3,29,19,2,0,12,-7,3,3,28,10,9,125,41
5,Kamahl,Steelheart’s Champions,4,0,30,-5,6,3,27,13,4,3,22,9,2,3,19,7,2,0,33,4,9,131,28
6,Voron,Garrek’s Reavers,2,0,29,-3,5,3,29,19,3,0,10,-19,6,3,28,10,4,3,33,3,9,129,10
7,Grib,Spiteclaw's Swarm,4,3,35,5,4,3,24,6,2,0,9,-17,4,0,41,-6,5,3,29,8,9,138,-4
8,Just,Ironskull’s Boyz,2,3,32,3,4,0,18,-6,5,3,27,7,3,0,7,-20,8,3,20,12,9,104,-4
9,Soel,Magore's Fiends,3,3,29,9,3,0,9,-22,6,3,30,9,4,3,47,6,3,0,18,-10,9,133,-8
10,Rodion,Ironskull’s Boyz,1,0,12,0,5,0,10,-19,7,3,30,24,5,0,27,3,6,3,31,11,6,110,19
11,Nevar,Garrek’s Reavers,5,0,12,-13,8,3,39,24,4,0,13,-9,5,3,30,3,4,0,30,-3,6,124,2
12,Roma,Ironskull’s Boyz,8,0,6,-10,7,3,30,9,5,0,20,-7,7,3,30,3,5,0,21,-8,6,107,-13
13,Kifir,Garrek’s Reavers,1,3,22,10,2,0,12,-18,6,0,21,-9,7,0,27,-3,7,3,42,6,6,124,-14
14,Sasha,Ironskull’s Boyz,3,0,20,-9,6,0,14,-13,8,3,26,19,6,0,18,-10,6,0,20,-11,3,98,-24
15,Tegark,Sepulchral Guard,6,0,2,-31,8,0,15,-24,8,0,7,-19,8,3,21,13,7,0,36,-6,3,81,-67
16,Proxy,,7,0,2,-11,7,0,21,-9,7,0,6,-24,8,0,8,-13,8,0,8,-12,0,45,-69
