№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS,,,,,,
1,Ilya,Stormsire’s Cursebreakers,10,1,30,19,2,1,22,14,2,1,24,11,1,1,24,1,1,1,30,1,5,130,46,17,Soel,Exselsior,Just,Lordik,Dimon,FALSE
2,Lordik,Magore's Fiends,2,1,38,18,3,1,24,20,1,1,45,2,1,0,23,-1,3,1,30,19,4,160,58,17,Voron,SashaPskov,Artur Diodand,Yl'ya,Exselsior,FALSE
3,Artur Diodand,Zarbag's Gitz,14,1,50,32,1,1,48,31,1,0,43,-2,3,1,66,33,2,1,63,29,4,270,123,15,Sasha,Kifir,Lordik,Smog,Oleg,FALSE
4,Dimon,Sepulchral Guard,11,1,34,15,4,1,32,6,3,1,34,3,2,1,20,11,1,0,29,-1,4,149,34,15,Nevar,Oksana,Oleg,Kamahl,Yl'ya,FALSE
5,Brin,Thorns of the Briar Queen ,4,1,42,11,7,0,20,-4,5,1,34,2,6,1,47,2,5,1,47,20,4,190,31,14,Rodion,Doctor,Oksana,Voron,Kamahl,FALSE
6,Kifir,Magore's Fiends,12,1,26,24,1,0,17,-31,10,1,31,13,7,1,30,16,4,1,15,-3,4,119,19,14,Hity,Artur Diodand,Soel,SashaPskov,Doctor,FALSE
7,Doctor,Stormsire’s Cursebreakers,3,1,40,9,7,1,24,4,4,0,26,4,5,1,24,9,4,0,18,3,3,132,29,16,Grib,Brin,Kamahl,Anguis,Kifir,FALSE
8,Just,Magore's Fiends,9,1,51,11,6,1,35,21,2,0,13,-11,4,0,32,-10,7,1,40,20,3,171,31,15,Verger,Kozulskis,Yl'ya,Oleg,Kozulskis,TRUE
9,Kamahl,The Farstriders,15,1,21,0,8,1,21,3,4,1,22,-4,2,0,9,-11,5,0,27,-20,3,100,-32,14,Boris,Coach,Doctor,Dimon,Brin,FALSE
10,Oleg,The Chosen Axes,16,1,28,15,5,1,26,16,3,0,31,-3,4,1,42,10,2,0,34,-29,3,161,9,13,Ivan,Tema,Dimon,Just,Artur Diodand,FALSE
11,Exselsior,Magore's Fiends,7,1,30,21,2,0,8,-14,7,1,32,0,8,1,38,20,3,0,11,-19,3,119,8,13,Andrey,Yl'ya,Coach,Kozulskis,Lordik,FALSE
