№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
1,Ilya,Lady Harrow’s Mournflight,9,1,30,6,3,1,30,8,2,1,42,12,2,1,28,19,1,1,25,4,5,155,49,17
2,Lordik,Ylthari's Guardians,4,1,21,9,5,1,36,5,3,1,39,18,1,1,42,4,1,0,21,-4,4,159,32,16
3,Voron,Zarbag's Gitz,7,1,42,16,2,1,49,2,2,0,30,-12,6,1,31,12,3,1,44,6,4,196,24,15
4,Artur Diodand,Thorns of the Briar Queen ,11,1,42,13,4,1,33,21,1,1,37,11,1,0,38,-4,2,1,37,0,4,187,41,14
5,Vanya,The Grymwatch,9,0,24,-16,11,1,43,24,6,1,53,8,4,1,35,1,4,1,49,8,4,204,25,13
6,Boris,Spiteclaw's Swarm,3,1,19,5,6,1,40,5,4,1,26,1,2,0,9,-19,4,0,41,-8,3,135,-16,16
7,Sasha,The Farstriders,2,1,32,0,7,1,25,15,3,0,21,-18,6,0,19,-12,8,1,19,5,3,116,-10,15
8,Dima,Skaeth’s Wild Hunt,10,1,38,9,5,0,31,-5,7,1,31,27,3,1,24,11,2,0,37,0,3,161,42,14
9,Soel,Thundrik's Profiteers,2,0,32,0,8,1,40,10,5,1,31,16,4,0,34,-1,5,1,27,15,3,164,40,13
10,Kozulskis,Thundrik's Profiteers,8,1,37,28,1,1,39,12,1,0,26,-11,3,0,13,-11,6,1,48,11,3,163,29,13
11,Just,Zarbag's Gitz,1,1,31,6,6,0,35,-5,8,1,38,14,5,1,35,1,3,0,38,-6,3,177,10,13
12,Seryi,Mollog's Mob,5,1,19,10,4,0,12,-21,10,0,15,-5,10,1,32,13,7,1,47,10,3,125,7,11
13,"Роман Евсеев",Stormsire’s Cursebreakers,6,1,39,18,2,0,47,-2,4,0,25,-1,7,1,30,2,5,0,12,-15,2,153,2,14
14,Skiv,Ylthari's Guardians,1,0,25,-6,8,0,30,-10,10,1,20,5,8,1,18,11,13,0,0,0,2,93,0,13
15,Solnce,Thundrik's Profiteers,13,1,16,15,3,0,22,-8,6,0,45,-8,7,0,28,-2,9,1,26,7,2,137,4,12
16,Verger,The Grymwatch,6,0,21,-18,12,1,39,19,9,1,47,6,5,0,34,-1,6,0,37,-11,2,178,-5,11
17,"Павел Кузнецов",The Grymwatch,10,0,29,-9,9,1,33,10,8,0,24,-14,9,1,34,2,7,0,37,-10,2,157,-21,11
18,Lodin,Garrek’s Reavers,7,0,24,-16,12,0,20,-19,12,1,23,15,10,0,19,-13,11,1,35,0,2,121,-33,11
19,Tema,The Farstriders,12,1,39,24,1,0,27,-12,5,0,15,-16,8,0,7,-11,10,1,29,11,2,117,-4,10
20,Udar,Thundrik's Profiteers,3,0,14,-5,7,0,10,-15,11,1,39,6,13,1,7,7,13,0,0,0,2,70,-7,9
21,Arstozkan,Stormsire’s Cursebreakers,8,0,9,-28,13,0,12,-19,13,1,19,5,11,1,19,2,8,0,14,-5,2,73,-45,8
22,Imp,Stormsire’s Cursebreakers,11,0,29,-13,10,1,28,16,7,0,4,-27,11,0,17,-2,11,0,35,0,1,113,-26,12
23,Timur,Skaeth’s Wild Hunt,4,0,12,-9,9,0,23,-10,11,0,33,-6,12,1,44,12,10,0,18,-11,1,130,-24,11
24,Kainobor,Grashrak’s Despoilers,12,0,15,-24,13,1,31,19,9,0,41,-6,9,0,32,-2,9,0,19,-7,1,138,-20,10
25,Danyar,Skaeth’s Wild Hunt,5,0,9,-10,10,0,12,-16,12,0,8,-15,12,0,32,-12,12,1,7,7,1,68,-46,7
26,Proxy,Grashrak’s Despoilers,13,0,1,-15,11,0,19,-24,13,0,14,-5,13,0,0,-7,12,0,0,-7,0,34,-58,11
