,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Lordik,Magore's Fiends,3,3,17,12,3,3,41,9,2,3,28,8,10,3,22,3,12,108,32,18
2,Artur Diodand,The Farstriders,4,3,36,22,1,3,43,28,1,0,35,0,12,3,40,33,9,154,83,33
3,Ylia,Stormsire’s Cursebreakers,8,3,23,14,2,3,31,13,1,3,35,0,11,0,24,0,9,113,27,33
4,Brin,Stormsire’s Cursebreakers,1,3,29,11,4,0,20,-5,4,3,21,21,11,3,24,0,9,94,27,30
5,Kamahl,The Farstriders,9,3,49,10,4,3,25,5,3,3,44,22,10,0,19,-3,9,137,34,27
6,Роман Евсеев,Sepulchral Guard,4,0,14,-22,12,3,34,0,9,3,36,1,7,3,38,7,9,122,-14,27
7,Dima,Eyes of the Nine,6,3,46,23,1,0,15,-28,7,3,30,15,9,3,32,9,9,123,19,24
8,Senek,Steelheart’s Champions,8,0,9,-14,11,3,19,17,5,3,26,-4,8,3,27,9,9,81,8,21
9,Vitaliy,Thorns of the Briar Queen,2,3,28,-1,6,3,25,-5,3,0,22,-22,7,0,31,-7,6,106,-35,30
10,Nikita Argov,The Chosen Axes,11,3,23,9,5,3,18,8,2,0,20,-8,9,0,23,-9,6,84,0,27
11,Imp,Ironskull’s Boyz,6,0,23,-23,12,0,34,0,12,3,33,30,6,3,42,12,6,132,19,24
12,Oleg,The Chosen Axes,7,3,25,16,6,0,30,5,4,0,0,-21,4,3,15,9,6,70,9,24
13,Oksana,Spiteclaw's Swarm,12,3,28,13,2,0,18,-13,6,3,26,3,8,0,18,-9,6,90,-6,24
14,Proxy,Thorns of the Briar Queen,1,0,18,-11,10,3,15,4,8,3,41,18,12,0,7,-33,6,81,-22,24
15,Sasha,Thorns of the Briar Queen,7,0,9,-16,7,3,25,8,8,0,23,-18,2,3,51,15,6,108,-11,18
16,Soel,Stormsire’s Cursebreakers,2,0,29,1,7,0,17,-8,10,3,32,7,5,3,32,10,6,110,10,15
17,Verger,Magore's Fiends,5,0,25,-11,9,3,38,-1,9,0,35,-1,3,3,35,18,6,133,5,15
18,Nevar,Garrek’s Reavers,5,3,36,11,3,0,32,-9,5,0,30,4,6,0,30,-12,3,128,-6,33
19,Georgiy,Sepulchral Guard,11,0,14,-9,8,3,26,6,7,0,15,-15,3,0,17,-18,3,72,-36,24
20,Kolya,The Farstriders,10,3,13,9,5,0,10,-8,6,0,23,-3,5,0,22,-10,3,68,-12,21
21,Petr,Eyes of the Nine,12,0,15,-13,11,0,2,-17,12,0,3,-30,1,3,10,-5,3,30,-65,21
22,Kirill,Ironskull’s Boyz,10,0,2,-9,8,0,20,-6,11,3,13,8,4,0,6,-9,3,41,-16,12
23,Voron,Garrek’s Reavers,9,0,39,-10,9,0,37,1,10,0,25,-7,2,0,36,-15,0,137,-31,27
24,Saervak,Steelheart’s Champions,3,0,5,-12,10,0,11,-4,11,0,5,-8,1,0,15,5,0,36,-19,24
