,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,Thorns of the Briar Queen,3,3,37,15,2,3,15,5,2,3,45,14,1,3,47,8,12,144,42,27
2,Artur Diodand,Thorns of the Briar Queen,9,3,43,32,1,3,42,26,1,3,24,13,1,0,39,-8,9,148,63,36
3,Brin,Steelheart’s Champions,2,3,23,17,2,0,10,-5,4,3,20,11,2,3,22,5,9,75,28,30
4,Ylia,Stormsire’s Cursebreakers,4,3,18,4,5,3,17,16,3,3,29,12,2,0,17,-5,9,81,27,30
5,Anguis,Ironskull’s Boyz,10,3,21,9,4,3,31,26,1,0,11,-13,3,3,39,13,9,102,35,27
6,Just,Ironskull’s Boyz,12,3,35,1,6,3,22,8,3,0,17,-12,5,3,41,2,9,115,-1,24
7,Soel,Stormsire’s Cursebreakers,10,0,12,-9,9,3,22,16,5,3,18,3,4,3,24,6,9,76,16,21
8,Oksana,Spiteclaw's Swarm,7,3,28,21,1,0,16,-26,7,3,22,2,6,3,28,11,9,94,8,21
9,Lordik,Magore's Fiends,1,3,27,15,3,3,19,13,2,0,31,-14,3,0,26,-13,6,103,1,30
10,Voron,Garrek’s Reavers,12,0,34,-1,7,3,41,10,5,0,15,-3,7,3,36,9,6,126,15,27
11,Boris,Magore's Fiends,5,3,36,14,3,0,6,-13,6,3,29,11,4,0,18,-6,6,89,6,27
12,Udar,Magore's Fiends,11,3,19,5,5,0,1,-16,8,3,21,4,6,0,17,-11,6,58,-18,27
13,Imp,Ironskull’s Boyz,2,0,6,-17,11,3,31,14,6,0,18,-11,10,3,34,30,6,89,16,21
14,Kamahl,Magore's Fiends,4,0,14,-4,7,0,31,-10,10,3,31,17,8,3,29,3,6,105,6,21
15,Sasha,Thorns of the Briar Queen,9,0,11,-32,12,3,32,27,8,0,17,-4,9,3,31,14,6,91,5,21
16,Grib,Spiteclaw's Swarm,5,0,22,-14,10,3,43,-4,9,3,34,21,5,0,39,-2,6,138,1,21
17,Verger,Garrek’s Reavers,3,0,22,-15,10,0,47,4,10,0,14,-17,11,3,18,9,3,101,-19,27
18,Oleg ,The Chosen Axes,6,3,18,4,6,0,14,-8,7,0,20,-2,9,0,17,-14,3,69,-20,27
19,Rodion,Ironskull’s Boyz,1,0,12,-15,11,0,17,-14,11,3,36,26,8,0,26,-3,3,91,-6,21
20,Solano,Sepulchral Guard,6,0,14,-4,8,3,38,14,4,0,9,-11,7,0,27,-9,3,88,-10,21
21,Denis,Steelheart’s Champions,7,0,7,-21,12,0,5,-27,12,3,26,20,10,0,4,-30,3,42,-58,21
22,Kolya,Ironskull’s Boyz,8,3,19,13,4,0,5,-26,9,0,13,-21,11,0,9,-9,3,46,-43,18
23,Saervak,Garrek’s Reavers,11,0,14,-5,8,0,24,-14,11,0,10,-26,12,3,21,11,3,69,-34,12
24,Margo,Steelheart’s Champions,8,0,6,-13,9,0,6,-16,12,0,6,-20,12,0,10,-11,0,28,-60,18
