,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Verger,Sepulchral Guard,4,1,39,-3,5,1,35,28,1,1,34,5,1,1,49,3,4,157,33,10
2,Ylia,Stormsire’s Cursebreakers,5,1,34,17,1,1,33,15,1,0,29,-5,2,1,27,8,3,123,35,10
3,Kamahl,The Farstriders,10,1,20,10,2,1,35,12,2,0,34,-3,3,1,33,14,3,122,33,10
4,Voron,Zarbag's Gitz,9,1,29,5,4,1,31,8,3,1,38,17,1,0,46,-3,3,144,27,10
5,Lordik,Magore's Fiends,1,1,35,5,3,1,26,13,2,1,37,3,2,0,19,-8,3,117,13,10
6,Oleg,The Chosen Axes,10,0,10,-10,9,1,41,25,4,1,29,12,4,1,26,14,3,106,41,8
7,Oksana,Spiteclaw's Swarm,9,0,24,-5,7,1,40,7,4,0,17,-12,7,1,38,14,2,119,4,9
8,Doctor,Stormsire’s Cursebreakers,4,0,42,3,6,1,24,21,3,0,21,-17,6,1,29,22,2,116,29,8
9,Just,Magore's Fiends,1,0,30,-5,7,0,33,-7,9,1,32,23,5,1,23,14,2,118,25,8
10,Soel,Eyes of the Nine,5,0,17,-17,10,1,20,7,7,1,26,26,3,0,19,-14,2,82,2,8
11,Nevar,Garrek’s Reavers,6,1,21,13,2,0,23,-12,5,1,50,12,4,0,12,-14,2,106,-1,8
12,Smog,Spiteclaw's Swarm,3,1,9,5,4,0,23,-8,6,1,16,6,5,0,9,-14,2,57,-11,8
13,Ivan,Spiteclaw's Swarm,8,1,22,6,3,0,13,-13,6,0,10,-6,8,1,26,5,2,71,-8,7
14,Aleksey Rassecheniy,Sepulchral Guard,7,1,13,1,5,0,7,-28,8,0,17,-5,9,1,24,17,2,61,-15,6
15,Sasha,Sepulchral Guard,2,1,28,15,1,0,18,-15,5,0,38,-12,7,0,24,-14,1,108,-26,8
16,Kozulskis,Zarbag's Gitz,8,0,16,-6,8,0,13,-2,8,1,22,5,6,0,7,-22,1,58,-25,7
17,Tema,Steelheart’s Champions,6,0,8,-13,9,0,16,-25,10,1,14,5,8,0,21,-5,1,59,-38,7
18,Saervak,The Chosen Axes,3,0,4,-5,8,1,15,2,7,0,0,-26,9,0,7,-17,1,26,-46,7
19,XuTu,Ironskull’s Boyz,2,0,13,-15,10,0,13,-7,9,0,9,-23,10,1,27,12,1,62,-33,6
20,Pawlove,Eyes of the Nine,7,0,12,-1,6,0,3,-21,10,0,9,-5,10,0,15,-12,0,39,-39,6
