,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,Total VP,Total GP,Total Diff,SOS
1,Kamahl,The Farstriders,9,3,16,10,5,3,29,13,2,3,28,18,1,3,19,-6,1,3,27,17,15,119,52,42
2,Artur Diodand,Magore's Fiends,1,3,44,16,2,3,54,16,1,0,10,-17,4,3,52,39,2,3,36,20,12,196,74,51
3,Dimon,Spiteclaw's Swarm,11,3,27,19,1,3,27,15,1,3,27,17,1,0,25,6,3,3,27,16,12,133,73,48
4,Ylia,Magore's Fiends,10,3,27,18,2,0,38,-16,8,3,30,13,5,3,26,22,4,3,24,14,12,145,51,42
5,Anguis,Ironskull’s Boyz,5,3,18,9,5,0,16,-13,9,3,17,7,6,3,26,3,6,3,31,28,12,108,34,39
6,Imp,Ironskull’s Boyz,13,3,17,12,3,3,20,-3,3,3,23,2,2,3,16,7,1,0,10,-17,12,86,1,45
7,Brin,Steelheart’s Champions,15,3,35,22,1,0,12,-15,7,3,42,30,3,3,32,26,2,0,16,-20,9,137,43,42
8,Sli,Spiteclaw's Swarm,3,0,26,-10,11,3,25,12,8,0,17,-13,11,3,33,19,5,3,35,11,9,136,19,36
9,Soel,Sepulchral Guard,1,0,28,-16,14,3,20,7,11,3,26,14,6,0,23,-3,7,3,21,3,9,118,5,39
10,Prokopov,Spiteclaw's Swarm,3,3,36,10,4,0,13,-2,6,3,28,9,4,0,13,-39,10,3,39,20,9,129,-2,42
11,Fatherbox,Spiteclaw's Swarm,14,3,11,6,7,3,33,-3,4,3,24,16,2,0,9,-7,4,0,10,-14,9,87,-2,45
12,Grib,Spiteclaw's Swarm,2,0,15,-15,13,3,23,7,10,3,26,3,7,3,28,17,3,0,11,-16,9,103,-4,33
13,Anna,Magore's Fiends,14,0,5,-6,10,0,10,-16,15,3,24,10,12,3,23,5,9,3,11,2,9,73,-5,27
14,Barb,Steelheart’s Champions,6,3,19,11,4,3,15,2,3,0,21,-2,5,0,4,-22,8,3,24,2,9,83,-9,42
15,Kirill,Ironskull’s Boyz,12,0,16,-4,9,0,9,-4,12,0,19,-8,14,3,21,5,11,3,32,17,6,97,6,24
16,Solano,Sepulchral Guard,7,3,23,5,7,0,36,3,6,0,19,-9,9,3,24,9,5,0,24,-11,6,126,-3,39
17,Reka,Steelheart’s Champions,7,0,18,-5,8,0,19,-9,12,3,27,8,10,3,16,6,7,0,18,-3,6,98,-3,30
18,Pavel,The Chosen Axes,8,0,12,-6,9,3,13,4,9,0,10,-7,11,0,14,-19,13,3,34,23,6,83,-5,36
19,Dimka,Magore's Fiends,4,0,17,-7,10,3,26,16,5,3,35,10,3,0,6,-26,8,0,22,-2,6,106,-9,39
20,Vlad,Steelheart’s Champions,13,0,5,-12,13,0,16,-7,13,3,23,12,9,0,15,-9,12,3,13,4,6,72,-12,30
21,Tulin,Sepulchral Guard,4,3,24,7,6,0,31,0,7,0,12,-30,13,0,25,-8,14,3,27,17,6,119,-14,30
22,Darth Framas,Spiteclaw's Swarm,2,3,30,15,3,0,23,3,5,0,25,-10,8,3,16,6,6,0,3,-28,6,97,-14,45
23,DRPFDR,Ironskull’s Boyz,8,3,18,6,6,3,31,0,4,0,8,-16,8,0,10,-6,9,0,9,-2,6,76,-18,36
24,Voron,Garrek’s Reavers,12,3,20,4,8,3,28,9,2,0,10,-18,7,0,11,-17,10,0,19,-20,6,88,-42,45
25,Amgalan,Ironskull’s Boyz,15,0,13,-22,15,3,17,2,11,0,12,-14,13,3,33,8,11,0,15,-17,6,90,-43,33
26,Kifir,Garrek’s Reavers,6,0,8,-11,12,3,23,6,10,0,23,-3,10,0,10,-6,12,0,9,-4,3,73,-18,30
27,Belenov,Spiteclaw's Swarm,10,0,9,-18,14,0,13,-7,15,0,14,-10,15,0,13,-13,15,3,36,15,3,85,-33,33
28,Lera,Steelheart’s Champions,11,0,8,-19,15,0,15,-2,14,0,20,-9,15,3,26,13,14,0,10,-17,3,79,-34,30
29,Dredd,Magore's Fiends,5,0,9,-9,11,0,13,-12,14,3,29,9,12,0,18,-5,13,0,11,-23,3,80,-40,39
30,Udar,Steelheart’s Champions,9,0,6,-10,12,0,17,-6,13,0,11,-12,14,0,16,-5,15,0,21,-15,0,71,-48,33
