,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Anguis,Ironskull’s Boyz,2,3,35,7,2,3,36,5,1,3,29,18,1,3,30,5,12,130,35,24
2,Imp,Magore's Fiends,4,3,22,15,1,3,34,2,1,0,11,-18,4,3,31,12,9,98,11,30
3,Dima,Sepulchral Guard,1,3,28,-7,3,0,31,-7,5,3,30,2,3,3,22,2,9,111,-10,21
4,Kifir,Garrek’s Reavers,5,3,24,16,1,0,32,-2,2,3,42,10,2,3,7,7,9,105,31,18
5,Nevar,Ironskull’s Boyz,1,0,35,7,4,3,38,15,3,3,32,18,1,0,25,-5,6,130,35,30
6,Grib,Spiteclaw's Swarm,3,3,19,2,3,3,38,7,2,0,32,-10,4,0,19,0,6,108,-1,30
7,Brin,The Farstriders,6,3,34,11,2,0,31,-5,3,0,14,-18,5,3,26,2,6,105,-10,27
8,Soel,Magore's Fiends,6,0,23,-11,5,3,26,12,4,3,33,23,3,0,20,-2,6,102,22,21
9,Barb,Garrek’s Reavers,2,0,28,-7,5,0,14,-12,6,3,32,13,2,0,0,-7,3,74,-13,27
10,Boris,Magore's Fiends,3,0,17,-2,4,0,23,-5,5,0,28,-2,6,3,25,6,3,93,-3,21
11,TauViktor,Spiteclaw's Swarm,4,0,7,-15,6,3,30,21,4,0,10,-23,5,0,24,-2,3,71,-19,21
12,Amgalan,Ironskull’s Boyz,5,0,8,-16,6,0,9,-21,6,0,19,-13,6,0,19,-6,0,55,-56,18
