,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Kamahl,The Farstriders,5,3,31,24,1,3,29,21,1,3,33,5,1,3,27,9,12,120,59,24
2,Dima,Garrek’s Reavers,4,3,25,8,3,3,17,8,1,0,28,-5,2,3,17,6,9,87,17,33
3,Nevar,Ironskull’s Boyz,4,0,17,-8,4,3,15,7,3,3,31,-4,3,3,22,3,9,85,-2,21
4,Soel,Magore's Fiends,6,3,28,18,2,3,25,-3,2,0,31,1,1,0,18,-9,6,102,7,30
5,Brin,Steelheart’s Champions,5,0,7,-24,6,3,33,22,4,3,32,14,2,0,11,-6,6,83,6,30
6,Anguis,Ironskull’s Boyz,1,3,36,17,2,0,28,3,3,0,35,4,4,3,29,17,6,128,41,24
7,Roma,Ironskull’s Boyz,2,3,16,9,3,0,9,-8,2,3,30,-1,6,0,7,7,6,62,7,21
8,Oksana,Spiteclaw's Swarm,6,0,10,-18,6,0,11,-22,6,3,26,5,6,3,0,-7,6,47,-42,21
9,Grib,Spiteclaw's Swarm,1,0,19,-17,5,3,37,6,5,3,26,-4,3,0,19,-3,6,101,-18,18
10,Kifir,Garrek’s Reavers,3,3,33,18,1,0,8,-21,4,0,18,-14,4,0,12,-17,3,71,-34,27
11,TK,Sepulchral Guard,3,0,15,-18,5,0,31,-6,6,0,21,-5,5,3,26,0,3,93,-29,15
12,Imp,The Farstriders,2,0,7,-9,4,0,8,-7,5,0,30,4,5,0,26,0,0,71,-12,24
