,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Anguis,Ironskull’s Boyz,3,3,29,25,1,0,17,-7,2,3,24,7,1,3,41,11,9,111,36,30
2,Artur Diodand,The Farstriders,1,3,31,16,1,3,24,7,1,0,23,-6,2,3,26,10,9,104,27,30
3,Kifir,Magore's Fiends,2,3,26,13,2,3,28,-1,2,0,17,-7,3,3,38,16,9,109,21,24
4,Soel,Magore's Fiends,6,3,19,10,3,3,24,7,1,3,29,6,1,0,30,-11,9,102,12,30
5,Imp,Ironskull’s Boyz,4,3,27,16,2,0,29,1,3,3,33,0,2,0,16,-10,6,105,7,30
6,Owl,The Farstriders,6,0,9,-10,4,3,26,15,3,0,33,0,4,3,32,2,6,100,7,24
7,Barb,Steelheart’s Champions,1,0,15,-16,5,3,30,10,4,0,20,-8,5,3,30,18,6,95,4,21
8,Brin,Sepulchral Guard,5,3,24,2,3,0,17,-7,4,3,28,8,4,0,30,-2,6,99,1,24
9,Voron,Garrek’s Reavers,4,0,11,-16,6,3,20,9,5,3,29,24,3,0,22,-16,6,82,1,18
10,Sasha,Spiteclaw's Swarm,2,0,13,-13,5,0,20,-10,6,3,24,13,5,0,12,-18,3,69,-28,21
11,Oleg,The Chosen Axes,5,0,22,-2,4,0,11,-15,5,0,5,-24,6,3,18,4,3,56,-37,18
12,Udar,Magore's Fiends,3,0,4,-25,6,0,11,-9,6,0,11,-13,6,0,14,-4,0,40,-51,21
