,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Brin,Thorns of the Briar Queen,11,1,43,24,2,1,38,11,1,1,44,5,2,1,47,0,4,172,40,8
2,Dima,Thorns of the Briar Queen,10,1,38,36,1,1,33,11,1,0,39,-5,1,1,35,12,3,145,54,10
3,Proxy,Ironskull’s Boyz,9,1,34,5,4,1,26,8,2,1,42,24,1,0,23,-12,3,125,25,10
4,Ylia,Mollog’s Mob,7,0,16,-4,6,1,22,18,4,1,21,7,4,1,32,21,3,91,42,9
5,Oleg,The Chosen Axes,7,1,20,4,5,0,41,2,5,1,27,20,3,1,39,8,3,127,34,9
6,Excelsior,Magore's Fiends,4,1,38,10,3,1,31,3,2,0,18,-24,6,1,40,15,3,127,4,9
7,Imp,Ironskull’s Boyz,4,0,28,-10,8,1,27,13,6,1,35,-4,5,1,26,10,3,116,9,6
8,Lordik,Magore's Fiends,5,1,37,29,1,0,22,-11,3,1,26,10,2,0,47,0,2,132,28,10
9,Just,Magore's Fiends,11,0,19,-24,10,1,31,16,8,1,43,20,3,0,31,-8,2,124,4,10
10,Sasha,Magore's Fiends,8,0,21,4,7,1,37,8,4,0,14,-7,7,1,21,10,2,93,15,8
11,Verger,The Farstriders,6,1,21,15,3,0,28,-3,5,0,7,-20,9,1,24,4,2,80,-4,8
12,Solnce,Eyes of the Nine,2,1,21,5,5,1,39,-2,3,0,16,-10,5,0,16,-10,2,92,-17,8
13,Soel,Godsworn Hunt,3,1,24,10,4,0,18,-8,7,1,28,0,4,0,11,-21,2,81,-19,8
14,Tema,Steelheart’s Champions,8,1,17,-4,6,0,4,-18,8,0,23,-20,10,1,22,10,2,66,-32,8
15,Voron,Zarbag's Gitz,9,0,29,-5,7,0,29,-8,9,1,32,8,8,1,41,3,2,131,-2,7
16,Anguis,Zarbag's Gitz,1,1,27,16,2,0,27,-11,6,0,39,4,6,0,25,-15,1,118,-6,11
17,Doctor,Eyes of the Nine,5,0,8,-29,11,1,24,6,9,0,24,-8,9,0,20,-4,1,76,-35,7
18,Sergey,Garrek’s Reavers,6,0,6,-15,10,0,15,-16,11,1,22,4,10,0,12,-10,1,55,-37,7
19,Skiv,The Chosen Axes,1,0,11,-16,9,1,20,10,7,0,28,0,8,0,38,-3,1,97,-9,6
20,Boris,Magore's Fiends,3,0,14,-10,9,0,10,-10,10,1,25,20,7,0,11,-10,1,60,-10,6
21,Pawlove,Steelheart’s Champions,10,0,2,-36,11,0,18,-6,11,0,18,-4,11,1,19,6,1,57,-40,6
22,Lover,The Farstriders,2,0,16,-5,8,0,14,-13,10,0,5,-20,11,0,13,-6,0,48,-44,7
