,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Just,Stormsire’s Cursebreakers,2,1,42,16,2,1,33,12,1,1,24,5,1,1,55,14,4,154,47,10
2,Imp,Ironskull’s Boyz,3,1,21,10,4,1,39,15,1,0,19,-5,3,1,36,24,3,115,44,10
3,Anguis,Zarbag's Gitz,6,1,37,24,1,1,33,-2,2,1,27,2,1,0,41,-14,3,138,10,10
4,Ylia,Mollog's Mob,9,1,32,20,1,0,35,2,3,1,11,1,2,1,34,20,3,112,43,9
5,Verger,The Farstriders,7,1,27,14,3,1,23,3,2,0,25,-2,4,1,24,19,3,99,34,9
6,Boris,Magore's Fiends,1,0,6,-20,11,1,33,15,7,1,40,5,5,1,25,-2,3,104,-2,6
7,Oleg,The Farstriders,5,1,17,4,5,1,11,7,4,1,29,4,2,0,14,-20,3,71,-5,6
8,Pawlove,Mollog's Mob,2,0,26,-16,10,1,36,-23,8,1,33,15,5,0,27,2,2,122,-22,11
9,Soel,Godsworn Hunt,1,1,26,20,2,0,21,-12,5,1,26,11,3,0,12,-24,2,85,-5,10
10,Dima,Stormsire’s Cursebreakers,10,1,19,12,3,0,20,-3,3,0,10,-1,10,1,24,20,2,73,28,9
11,Udar,Magore's Fiends,11,1,32,9,4,0,24,-15,7,0,35,-5,8,1,29,20,2,120,9,9
12,Student,Garrek’s Reavers,7,0,13,-14,10,0,13,23,9,1,29,15,6,1,35,6,2,90,30,7
13,Tema,Steelheart’s Champions,10,0,7,-12,6,1,19,11,6,1,21,18,4,0,5,-19,2,52,-2,7
14,Kifir,Magore's Fiends,3,0,11,-10,9,1,30,3,8,0,18,-15,9,1,22,19,2,81,-3,7
15,Proxy,Ironskull’s Boyz,11,0,23,-9,8,0,0,-7,10,1,36,8,7,1,30,17,2,89,9,5
16,Maks,Ironskull’s Boyz,5,0,13,-4,8,1,7,7,5,0,15,-11,8,0,9,-20,1,44,-28,9
17,Brin,The Farstriders,8,1,31,6,5,0,4,-7,6,0,3,-18,10,0,4,-20,1,42,-39,9
18,Voron,Zarbag's Gitz,4,0,41,6,7,1,19,6,4,0,25,-4,6,0,29,-6,1,114,2,7
19,Sasha,Magore's Fiends,9,0,12,-20,9,0,27,-3,11,1,29,14,7,0,13,-17,1,81,-26,7
20,Smoker,Magore's Fiends,4,1,35,-6,6,0,8,-11,9,0,14,-15,9,0,3,-19,1,60,-51,7
21,Sergey,Mollog's Mob,8,0,25,-6,7,0,13,-6,10,0,28,-8,11,1,23,19,1,89,-1,5
22,Ruker,Stormsire’s Cursebreakers,6,0,13,-24,11,0,18,-15,11,0,15,-14,11,0,3,-19,0,49,-72,8
