,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Dima,Ylthari’s Guardians,8,1,40,22,1,1,29,8,1,1,33,6,6,1,41,8,4,143,44,9
2,Georgiy,Godsworn Hunt,5,1,40,21,1,0,21,-8,2,1,29,7,7,1,39,3,3,129,23,11
3,Lycian,Thorns of the Briar Queen,5,0,19,-21,6,1,28,13,4,1,45,17,1,1,30,1,3,122,10,8
4,Pawlove,Ylthari’s Guardians,3,0,12,-13,5,1,31,2,5,1,17,12,2,1,44,9,3,104,10,6
5,Skiv,The Chosen Axes,3,1,25,13,2,0,32,-5,3,1,23,12,6,0,33,-8,2,113,12,10
6,Oksana,Zarbag's Gitz,2,1,34,21,2,1,37,5,1,0,27,-6,7,0,36,-3,2,134,17,9
7,Verger,Thundrik’s Profiteers,4,1,45,4,3,1,23,5,2,0,22,-7,1,0,29,-1,2,119,1,9
8,Seriy,Mollog's Mob,8,0,18,-22,7,1,32,5,5,0,5,-12,4,1,30,28,2,85,-1,8
9,Boris,Magore's Fiends,1,1,24,6,3,0,18,-5,4,0,28,-17,3,1,29,5,2,99,-11,7
10,Viktor,Magore's Fiends,6,1,19,1,8,1,7,7,8,0,0,0,8,0,0,0,2,26,8,2
11,Voron,Zarbag's Gitz,4,0,41,-4,4,0,44,-6,6,1,42,11,2,0,35,-9,1,162,-8,7
12,Sasha,Ironskull’s Boyz,6,0,18,-1,4,1,50,6,3,0,11,-12,3,0,24,-5,1,103,-12,7
13,Soel,Godsworn Hunt,1,0,18,-6,5,0,29,-2,6,0,31,-11,5,1,41,16,1,119,-3,6
14,Egor,Stormsire’s Cursebreakers,7,0,7,-19,6,0,15,-13,7,1,17,4,4,0,2,-28,1,41,-56,6
15,Proxy,Thundrik’s Profiteers,7,1,26,19,8,0,0,-7,8,0,0,0,8,0,0,0,1,26,12,2
16,Saervak,Magore's Fiends,2,0,13,-21,7,0,27,-5,7,0,13,-4,5,0,25,-16,0,78,-46,6
