,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Pawlove,The Chosen Axes,4,1,22,4,2,1,38,19,2,1,25,15,1,1,22,11,4,107,49,8
2,Sasha,Mollog's Mob,3,1,23,1,3,1,42,23,1,1,39,18,1,0,11,-11,3,115,31,10
3,Just,Mollog's Mob,5,1,66,34,1,1,26,1,1,0,21,-18,2,0,19,-5,2,132,12,9
4,Proxy,Godsworn Hunt,3,0,22,-1,4,0,38,-10,4,1,36,26,2,1,26,5,2,122,20,8
5,Seriy,Magore's Fiends,4,0,18,-4,3,0,19,-23,5,1,29,20,4,1,33,22,2,99,15,8
6,Kamahl,The Farstriders,2,1,23,22,1,0,25,-1,2,0,10,-15,3,1,43,7,2,101,13,8
7,Voron,Sepulchral Guard,5,0,32,-34,5,1,46,28,3,1,30,-3,3,0,36,-7,2,144,-16,6
8,Boris,Thorns of the Briar Queen,1,0,24,-9,4,1,48,10,3,0,33,3,5,1,38,15,2,143,19,5
9,Kozulskis,Spiteclaw's Swarm,1,1,33,9,2,0,19,-19,4,0,10,-26,4,0,11,-22,1,73,-58,10
10,Stepan,Magore's Fiends,2,0,1,-22,5,0,18,-28,5,0,9,-20,5,0,23,-15,0,51,-85,8
