,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Voron,Godsworn Hunt,7,1,24,6,3,1,29,-4,2,1,36,9,1,1,49,2,4,138,13,9
2,Brin,Thorns of the Briar Queen,4,1,29,14,2,1,22,4,1,1,32,6,1,0,47,-2,3,130,22,11
3,Timur,Garrek’s Reavers,2,1,32,-1,4,1,23,-2,2,0,27,-9,4,1,28,22,3,110,10,10
4,Ylia,Stormsire’s Cursebreakers,5,1,47,14,1,1,24,22,1,0,26,-6,2,1,20,8,3,117,38,9
5,Sveta,Mollog's Mob,3,1,35,3,4,0,25,2,5,1,32,5,3,1,28,19,3,120,29,8
6,Just,Stormsire’s Cursebreakers,6,1,32,13,2,0,18,-4,4,1,30,23,2,0,12,-8,2,92,24,9
7,Dants,Mollog's Mob,8,1,34,19,1,0,2,-22,6,1,18,6,4,0,6,-22,2,60,-19,8
8,Lordik,Stormsire’s Cursebreakers,3,0,32,-3,5,1,19,7,6,0,12,-6,6,1,30,20,2,93,18,7
9,Seriy,Mollog's Mob,7,0,18,-6,6,1,34,13,4,0,7,-23,8,1,31,28,2,90,12,7
10,Imp,Magore's Fiends,4,0,15,-14,8,1,37,31,3,1,20,9,3,0,9,-19,2,81,7,7
11,Verger,Sepulchral Guard,5,0,33,-14,7,0,27,-10,7,1,34,24,5,1,29,8,2,123,8,6
12,Sasha,The Farstriders,1,1,27,8,3,0,33,4,3,0,11,-9,5,0,21,-8,1,92,-5,9
13,Pawlove,Stormsire’s Cursebreakers,2,0,33,1,5,0,12,-7,7,0,10,-24,7,1,43,9,1,98,-21,8
14,Boris,Thorns of the Briar Queen,1,0,19,-8,7,1,37,10,5,0,27,-5,6,0,10,-20,1,93,-23,8
15,Kozulskis,Zarbag's Gitz,6,0,19,-13,6,0,21,-13,8,1,38,12,7,0,34,-9,1,112,-23,5
16,Proxy,Thundrik’s Profiteers,8,0,13,-19,8,0,6,-31,8,0,26,-12,8,0,3,-28,0,48,-90,7
