,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Oleg,Thundrik’s Profiteers,8,1,23,5,3,1,24,7,2,1,35,4,3,1,26,10,4,108,26,7
2,Dima,Skaeth’s Wild Hunt,4,1,36,11,2,1,26,11,1,1,43,10,3,0,16,-10,3,121,22,12
3,Priest,Zarbag's Gitz,4,0,25,-11,7,1,34,2,5,1,37,7,6,1,38,2,3,134,0,8
4,Vanya,Thundrik’s Profiteers,3,1,40,12,2,0,15,-11,4,1,28,9,4,1,36,21,3,119,31,7
5,Udar,Thundrik’s Profiteers,5,1,28,4,4,0,23,-9,6,1,31,15,5,1,32,1,3,114,11,7
6,Ylia,Grashrak’s Despoilers,7,1,39,2,4,1,32,9,2,0,31,-4,6,0,36,-2,2,138,5,12
7,Soel,Thundrik’s Profiteers,2,1,34,29,1,0,35,-2,3,1,38,9,4,0,15,-21,2,122,15,8
8,Timur,Godsworn Hunt,6,1,38,16,1,1,37,2,1,0,33,-10,5,0,31,-1,2,139,7,8
9,Voron,Godsworn Hunt,5,0,24,-4,6,1,35,0,5,0,30,-7,8,1,35,-3,2,124,-14,8
10,Tema,The Farstriders,7,0,37,-2,5,1,28,13,3,0,29,-9,7,1,31,5,2,125,7,7
11,Seriy,Magore's Fiends,1,0,31,-4,5,0,15,-13,7,1,34,10,2,1,18,3,2,98,-4,5
12,Sasha,The Farstriders,1,1,35,4,3,0,17,7,4,0,19,-9,8,0,38,3,1,109,5,11
13,Verger,The Chosen Axes,3,0,22,-12,7,0,32,-2,8,1,29,16,7,0,26,-5,1,109,-3,8
14,Danyar,Thundrik’s Profiteers,8,0,18,-5,6,0,35,0,7,0,24,-10,1,1,29,4,1,106,-11,8
15,Homyak,Mollog's Mob,2,0,5,-29,8,1,33,8,6,0,16,-15,2,0,15,-3,1,69,-39,7
16,Boris,Thorns of the Briar Queen,6,0,22,-16,8,0,25,-8,8,0,13,-16,1,0,25,-4,0,85,-44,5
