,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Timur,Rippa's Snarlfangs,1,1,21,-6,4,1,36,8,2,1,30,24,1,1,31,7,4,118,33,9
2,Seriy,Stormsire’s Cursebreakers,3,1,48,5,2,1,57,23,1,1,7,7,1,0,24,-7,3,136,28,9
3,Amarok,Rippa's Snarlfangs,2,1,27,5,3,1,32,10,2,0,6,-24,5,1,31,14,3,96,5,9
4,Nevar,Godsworn Hunt,4,1,40,12,1,1,25,15,1,0,0,-7,2,1,7,7,3,72,27,8
5,Boris,The Grymwatch,4,0,28,-12,7,1,51,40,3,1,48,11,3,1,39,15,3,166,54,7
6,Voron,Rippa's Snarlfangs,1,0,27,6,5,1,32,14,3,0,37,-11,4,1,18,-7,2,114,2,10
7,Artur,Stormsire’s Cursebreakers,2,0,22,-5,6,1,22,5,4,1,25,23,3,0,24,-15,2,93,8,9
8,Kozulskis,Mollog's Mob,6,1,40,3,3,0,22,-10,5,1,34,20,4,0,25,7,2,121,20,7
9,Imp,Stormsire’s Cursebreakers,7,0,20,-7,6,0,17,-5,6,1,43,13,6,1,23,18,2,103,19,5
10,Proxy,Ylthari’s Guardians,7,1,27,7,2,0,34,-23,5,0,14,-20,2,0,0,-7,1,75,-43,10
11,Tema,Grashrak’s Despoilers,3,0,43,-5,5,0,18,-14,7,1,41,20,5,0,17,-14,1,119,-13,8
12,Sasha,Zarbag's Gitz,6,0,37,-3,4,0,28,-8,6,0,30,-13,7,1,36,4,1,131,-20,8
13,Lodin,Eyes of the Nine,5,1,23,18,1,0,10,-15,4,0,2,-23,6,0,5,-18,1,40,-38,7
14,Hound,Grashrak’s Despoilers,5,0,5,-18,7,0,11,-40,7,0,21,-20,7,0,32,-4,0,69,-82,6
