,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Виктор Нелипович,Гобелены,5,1,31,19,1,1,27,13,1,1,30,23,1,1,28,10,4,116,65,10
2,Константин Кручинин,Гобелены,3,1,28,15,2,1,48,18,1,0,7,-23,4,1,23,21,3,106,31,11
3,Владимир Владимирович,Кхарадроны,1,1,25,11,4,1,38,12,2,1,27,9,1,0,18,-10,3,108,22,11
4,Arsanar,Илтари,7,1,26,14,3,1,23,15,2,0,18,-9,2,1,35,14,3,102,34,9
5,Анна Мельникова,Призраки,6,1,26,17,2,0,30,-18,6,1,39,19,3,1,40,18,3,135,36,7
6,Евгений Сафронов,Гули,2,1,40,-3,5,1,14,14,3,1,28,15,2,0,11,-14,3,93,12,7
7,Brin,Курноты,5,0,12,-19,10,1,14,14,7,1,33,15,5,1,37,12,3,96,22,6
8,Михаил Ковальков,Гобелены,7,0,12,-14,7,1,29,20,3,0,13,-15,6,1,20,9,2,74,0,9
9,Анатолий Коновалов,Волки,1,0,14,-11,6,1,32,13,5,1,32,9,4,0,2,-21,2,80,-10,9
10,Сергей Сапожков,ГримвотЗЭ,4,1,28,12,4,0,26,-12,5,0,26,-9,7,1,36,20,2,116,11,8
11,Павел Кузнецов,Баньши,3,0,13,-15,8,1,30,18,4,1,30,13,3,0,22,-18,2,95,-2,8
12,Дмитрий Точенов,Курноты,4,0,16,-12,7,0,9,-20,9,1,37,11,8,1,34,22,2,96,1,6
13,Петр Федин,Курноты,2,0,37,3,6,0,19,-13,8,1,29,6,5,0,25,-12,1,110,-16,9
14,Марк Карк,КБ,8,1,39,18,1,0,14,-13,4,0,17,-13,6,0,11,-9,1,81,-17,9
15,Виктор Щеблыкин,Моллог,9,1,23,14,3,0,8,-15,7,0,18,-15,7,0,16,-20,1,65,-36,9
16,Святослав Соколов,крысы,10,1,14,14,5,0,0,-14,6,0,20,-19,9,0,7,-30,1,41,-49,7
17,Артем Баранов,Призраки,8,0,21,-18,9,0,25,-6,9,0,26,-11,9,1,37,30,1,109,-5,5
18,Алексей Смышляев,Орки,6,0,9,-17,9,1,31,6,8,0,23,-6,10,0,0,0,1,63,-17,5
18,Максим Федоров,Орки,9,0,9,-14,8,0,12,-18,10,1,14,14,8,0,12,-22,1,47,-40,5
20,Proxy,Волки,10,0,0,-40,10,0,0,-40,10,0,0,-40,10,0,0,0,0,0,-120,6
