#,Имя игрока,Faction,T,VP,L,DiffGP,T,VP,L,DiffGP,T,VP,L,DiffGP,VP,L,SoS,DiffGP
1,Денис Кубиков,гули,1,6,0,23,1,6,0,15,1,0,2,0,12,2,0,38
2,Алексей Смышляев,илтари,1,0,2,0,3,6,0,16,2,6,0,9,12,2,0,25
3,Петр Федин,козлы,4,0,2,0,4,6,0,2,5,0,2,0,6,4,0,2
4,Артем Баранов,призраки,2,0,2,0,5,0,2,0,4,0,2,0,0,6,0,0
5,Евгений Овчинников,кб,2,6,0,6,2,6,0,6,1,6,0,11,18,0,0,23
6,Иван Дмитриев,страйдеры,3,1,1,4,4,0,2,0,4,6,0,6,7,3,0,10
7,Владимир Владимирович,парогномы,4,6,0,7,2,0,2,0,3,6,0,13,12,2,0,20
8,Павел Аленчев,риверы,5,6,0,20,1,0,2,0,2,0,2,0,6,4,0,20
9,Максим Каревский,курноты,3,1,1,3,3,0,2,0,5,6,0,5,7,3,0,8
10,Александр Каревский,моллог,5,0,2,0,5,6,0,29,3,0,2,0,6,4,0,29
