№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
,Artur Diodand,Mollog's Mob,9,1,35,26,1,1,30,9,2,65,35,#N/A
,Oleg,Thundrik's Profiteers,7,1,31,15,3,1,32,18,2,63,33,#N/A
,Just,Skaeth’s Wild Hunt,4,1,33,18,2,1,27,11,60,29,#N/A
,Brin,Stormsire’s Cursebreakers,6,1,48,12,4,1,34,11,82,23,#N/A
,Kozulskis,Rippa's Snarlfangs,8,1,30,5,5,1,40,17,2,70,22,#N/A
,Amarok,Rippa's Snarlfangs,10,1,31,23,1,0,21,-9,1,52,14,#N/A
,Artur,Stormsire’s Cursebreakers,1,1,35,21,2,0,16,-11,1,51,10,#N/A
,Tema,Mollog's Mob,5,0,24,-7,6,1,33,13,1,57,6,#N/A
,Danil,The Grymwatch,6,0,36,-12,7,1,40,14,1,76,2,#N/A
,Maks,Garrek’s Reavers,7,0,16,-15,8,1,41,16,1,57,1,#N/A
,Boris,The Grymwatch,2,1,41,16,3,0,14,-18,1,55,-2,#N/A
,Doctor,Ylthari's Guardians,3,1,28,9,4,0,23,-11,1,51,-2,#N/A
,Nevar,Godsworn Hunt,5,1,31,7,5,0,23,-17,1,54,-10,#N/A
,Imp,Stormsire’s Cursebreakers,9,0,9,-26,10,1,25,16,1,34,-10,#N/A
,Voron,Zarbag's Gitz,1,0,14,-21,9,1,60,4,1,74,-17,#N/A
,Seriy,Stormsire’s Cursebreakers,8,0,25,-5,6,0,20,-13,0,45,-18,#N/A
,LastbutOne,Grashrak’s Despoilers,4,0,15,-18,9,0,56,-4,0,71,-22,#N/A
,Lodin,Lady Harrow’s Mournflight,3,0,19,-9,7,0,26,-14,0,45,-23,#N/A
,Sasha,Zarbag's Gitz,2,0,25,-16,8,0,25,-16,0,50,-32,#N/A
,Timur,Rippa's Snarlfangs,10,0,8,-23,10,0,9,-16,0,17,-39,#N/A
