,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Seriy,Stormsire’s Cursebreakers,2,0,12,-9,5,1,28,17,2,1,24,11,5,1,36,13,3,100,32,9
2,Pawlove,Ylthari’s Guardians,2,1,21,9,1,0,20,-21,4,1,38,16,3,1,28,4,3,107,8,7
3,Verger,Rippa's Snarlfangs,5,1,37,8,2,1,41,9,1,1,43,-1,5,0,23,-13,3,144,3,7
4,Boris,The Grymwatch,1,1,38,5,3,0,20,-5,3,1,35,7,4,1,31,12,3,124,19,5
5,Tema,Hrothgorn’s Mantrappers,4,1,35,13,1,1,41,21,1,0,44,1,4,0,19,-12,2,139,23,11
6,Voron,The Wurmspat,4,0,22,-13,5,0,11,-17,5,1,35,2,2,1,23,13,2,91,-15,7
7,Udar,Thundrik’s Profiteers,3,1,32,8,2,0,32,-9,3,0,28,-7,3,0,24,-4,1,116,-12,10
8,Kozulskis,The Wurmspat,5,0,29,-8,3,1,25,5,2,0,13,-11,1,0,19,-10,1,86,-24,10
9,Sasha,Hrothgorn’s Mantrappers,1,0,33,-5,4,0,33,7,5,0,33,-2,1,1,29,10,1,128,10,7
10,Doctor,The Wurmspat,3,0,24,-8,4,1,26,-7,4,0,22,-16,2,0,10,-13,1,82,-44,7
