,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Brin,Lady Harrow's Mournflight,2,1,45,26,1,1,39,17,1,1,41,11,1,0,44,3,3,169,57,10
2,Timur,Rippa's Snarlfangs,6,1,53,12,2,1,48,21,1,0,30,-11,2,1,34,16,3,165,38,10
3,Verger,Hrothgorn’s Mantrappers,4,1,37,20,2,0,27,-21,4,1,35,12,3,1,30,8,3,129,19,8
4,Boris,The Grymwatch,1,0,51,-2,5,1,32,19,3,1,41,3,1,1,41,-3,3,165,17,7
5,Voron,The Wurmspat,7,1,36,22,1,0,22,-17,2,1,26,12,3,0,22,-8,2,106,9,9
6,Jora,The Wurmspat,2,0,19,-26,7,1,28,21,4,0,23,-12,4,1,36,17,2,106,0,9
7,Nevar,Skaeth's Wild Hunt,3,0,34,-5,4,1,32,4,3,0,38,-3,5,1,41,12,2,145,8,8
8,Kozulskis,Sepulchral Guard,1,1,53,2,4,0,28,-4,5,1,45,1,4,0,19,-17,2,145,-18,8
9,Danil,The Grymwatch,6,0,41,-12,6,0,23,-11,6,1,30,5,6,1,34,26,2,128,8,7
10,Seriy,Stormsire’s Cursebreakers,5,1,24,9,3,1,32,23,2,0,14,-12,2,0,18,-16,2,88,4,7
11,Uzbek,Magore's Fiends,3,1,39,5,3,0,9,-23,6,0,25,-5,7,1,34,20,2,107,-3,6
12,Pavel,Thundrik’s Profiteers,4,0,17,-20,6,1,34,11,5,0,44,-1,5,0,29,-12,1,124,-22,9
13,Ivan,Grashrak's Despoilers,7,0,14,-22,7,0,7,-21,7,1,33,11,6,0,8,-26,1,62,-58,6
14,Graph,Grashrak's Despoilers,5,0,15,-9,5,0,13,-19,7,0,22,-11,7,0,14,-20,0,64,-59,8
